"date","volumeMTUM","volumeQUAL","volumeVLUE","volumeSIZE","volumeUSMV","volumeSPY"
2016-04-11,180909,161607,4257,1486,3391231,83757486
2016-04-12,781032,424378,11096,4729,11409241,115350567
2016-04-13,191045,180234,66450,882,5190368,96336433
2016-04-18,203349,244873,7511,1924,3036717,82530960
2016-04-19,224648,615545,10083,2300,4790981,88316060
2016-04-20,185505,263262,58079,825,2870132,81100314
2016-04-21,179791,1008407,4133,28950,5571324,85695041
2016-04-25,140046,177996,5470,738,2421024,66166494
2016-04-26,172924,675648,215709,2535,2511799,75864174
2016-04-27,262509,94275,117699,824,2454788,77329437
2016-04-28,173649,166721,9835,1052,2608479,97216169
2016-04-29,334599,295641,2264,834,4036954,142424137
2016-05-02,353091,340288,9161,819,2462434,62188015
2016-05-03,177161,94856,161146,180,4014156,106422142
2016-05-04,146458,133115,33358,1293,2809536,92243810
2016-05-05,50602,76368,23511,1621,2955242,67619222
2016-05-06,137281,83297,3056,623,3079915,89315004
2016-05-09,101511,69046,9620,553,3213229,74374922
2016-05-10,140785,397429,78520,1855,2592120,77472207
2016-05-11,208548,111642,30195,1182,3078954,81726989
2016-05-12,77991,68245,12421,449,3460160,89586308
2016-05-13,67987,84924,419781,625,3175287,96474630
2016-05-16,180355,79866,54156,1333,7484243,77486827
2016-05-17,202996,116972,7212,3416,2395820,114924940
2016-05-18,270106,277403,13385,529,4047530,123493379
2016-05-20,104565,54877,48690,810,2077724,104990408
2016-05-23,439776,714858,31119,3536,3305797,58682576
2016-05-24,231455,188762,12743,2649,2823810,93537808
2016-05-25,145486,167080,6646,702,4567450,79221525
2016-05-26,111272,196881,8044,492,2942559,55280699
2016-05-27,89586,75870,4164,1523,1908254,64211214
2016-05-31,339197,95640,21574,1289,3541724,109879380
2016-06-01,149273,112318,14764,2777,2563161,69936215
2016-06-02,177622,224057,21263,1797,2172171,63044749
2016-06-03,201104,310017,11184,438,3132477,101757126
2016-06-06,415604,228597,16428,777,3078600,64887045
2016-06-07,223891,137498,71297,2024,2909474,60974761
2016-06-08,173698,114323,139959,1569,1926549,66170920
2016-06-09,162774,76262,24919,1063,2391117,73786869
2016-06-10,174223,439539,138602,734,2522337,113829158
2016-06-13,190703,1613349,15057,500,5346475,117751153
2016-06-14,163651,102672,21108,1009,2757126,125059286
2016-06-16,224394,161426,15357,2501,2860698,149533065
2016-06-17,216201,272923,12816,789,2773825,117055748
2016-06-20,159577,135228,5383,3870,2094274,82789603
2016-06-21,139479,177842,191247,447,6202398,72461663
2016-06-22,159231,290444,6915,1687,5354388,95560471
2016-06-23,223418,341939,23107,1504,4366229,102731356
2016-06-24,309906,523027,172656,893,9102915,333444397
2016-06-27,337227,1835353,51391,1991,6064787,248988660
